com_result_pool_s2,com_condi,com_result_pool,n,com_choice_raw,feedback_raw,key_pressed.keys_raw,key_pressed.rt_mean,key_pressed.rt_raw,key_pressed.rt_std,sub_choice_raw,order
1,0,2,1.0,'Red card','Loss','q',0.399041891098,0.39904189109802246,0.0,'Black card',0.0
2,1,1,1.0,'Black card','N/A',,,,,'N/A',1.0
2,2,1,1.0,'Black card','Win','p',0.601629018784,0.6016290187835693,0.0,'Black card',2.0
1,3,2,1.0,'Red card','Win','p',0.445708036423,0.4457080364227295,0.0,'Red card',3.0
2,4,1,1.0,'Black card','Loss','q',0.435437917709,0.4354379177093506,0.0,'Red card',4.0
1,5,2,1.0,'Red card','Win','p',0.44909620285,0.4490962028503418,0.0,'Red card',5.0
2,6,1,1.0,'Black card','Loss','p',0.591161966324,0.5911619663238525,0.0,'Red card',6.0
1,7,2,1.0,'Red card','Loss','p',0.450035095215,0.45003509521484375,0.0,'Black card',7.0
1,8,2,1.0,'Red card','Win','q',0.437850952148,0.4378509521484375,0.0,'Red card',8.0
1,9,2,1.0,'Red card','Loss','q',0.584074020386,0.5840740203857422,0.0,'Black card',9.0
1,10,2,1.0,'Red card','Loss','q',0.446357965469,0.44635796546936035,0.0,'Black card',10.0
1,11,2,1.0,'Red card','Loss','q',0.443019866943,0.4430198669433594,0.0,'Black card',11.0
2,12,1,1.0,'Black card','Win','p',0.616923809052,0.6169238090515137,0.0,'Black card',12.0
1,13,2,1.0,'Red card','Loss','q',0.893014907837,0.8930149078369141,0.0,'Black card',13.0
1,14,2,1.0,'Red card','Win','q',0.901062965393,0.9010629653930664,0.0,'Red card',14.0
2,15,1,1.0,'Black card','Win','p',0.745580911636,0.7455809116363525,0.0,'Black card',15.0
1,16,2,1.0,'Red card','Loss','p',0.902074098587,0.9020740985870361,0.0,'Black card',16.0
2,17,1,1.0,'Black card','Win','p',0.878306865692,0.8783068656921387,0.0,'Black card',17.0
1,18,2,1.0,'Red card','Win','p',0.448054075241,0.44805407524108887,0.0,'Red card',18.0
1,19,2,1.0,'Red card','Win','p',0.447759151459,0.44775915145874023,0.0,'Red card',19.0
1,20,2,1.0,'Red card','Win','p',0.453423023224,0.45342302322387695,0.0,'Red card',20.0
1,21,2,1.0,'Red card','Loss','p',0.591315984726,0.5913159847259521,0.0,'Black card',21.0
2,22,1,1.0,'Black card','Win','p',0.452082157135,0.45208215713500977,0.0,'Black card',22.0
2,23,1,1.0,'Black card','Loss','p',0.593746900558,0.5937469005584717,0.0,'Red card',23.0
